| table_name                  | column_name                  | data_type                   | is_nullable | column_default                                                |
| --------------------------- | ---------------------------- | --------------------------- | ----------- | ------------------------------------------------------------- |
| alis_kalemleri              | id                           | uuid                        | NO          | gen_random_uuid()                                             |
| alis_kalemleri              | alis_id                      | uuid                        | NO          | null                                                          |
| alis_kalemleri              | stok_id                      | uuid                        | YES         | null                                                          |
| alis_kalemleri              | stok_kodu                    | text                        | NO          | null                                                          |
| alis_kalemleri              | stok_adi                     | text                        | NO          | null                                                          |
| alis_kalemleri              | barkod                       | text                        | YES         | null                                                          |
| alis_kalemleri              | miktar                       | numeric                     | NO          | null                                                          |
| alis_kalemleri              | birim_fiyat                  | numeric                     | NO          | null                                                          |
| alis_kalemleri              | iskonto_orani                | numeric                     | NO          | 0                                                             |
| alis_kalemleri              | kdv_orani                    | numeric                     | NO          | 18                                                            |
| alis_kalemleri              | toplam_tutar                 | numeric                     | NO          | null                                                          |
| alis_kalemleri              | sira_no                      | integer                     | NO          | 1                                                             |
| alis_kalemleri              | olusturma_tarihi             | timestamp with time zone    | NO          | now()                                                         |
| alislar                     | id                           | uuid                        | NO          | gen_random_uuid()                                             |
| alislar                     | tedarikci_id                 | uuid                        | YES         | null                                                          |
| alislar                     | fatura_no                    | text                        | NO          | null                                                          |
| alislar                     | fatura_tarihi                | date                        | NO          | CURRENT_DATE                                                  |
| alislar                     | vade_tarihi                  | date                        | YES         | null                                                          |
| alislar                     | aciklama                     | text                        | YES         | null                                                          |
| alislar                     | ara_toplam                   | numeric                     | NO          | 0                                                             |
| alislar                     | kdv_tutari                   | numeric                     | NO          | 0                                                             |
| alislar                     | toplam_tutar                 | numeric                     | NO          | 0                                                             |
| alislar                     | indirim_tutari               | numeric                     | NO          | 0                                                             |
| alislar                     | alis_durumu                  | text                        | NO          | 'tamamlandi'::text                                            |
| alislar                     | olusturma_tarihi             | timestamp with time zone    | NO          | now()                                                         |
| alislar                     | guncelleme_tarihi            | timestamp with time zone    | NO          | now()                                                         |
| alislar                     | fatura_seri_no               | character varying           | YES         | null                                                          |
| alislar                     | fatura_sira_no               | integer                     | YES         | null                                                          |
| alt_todolar                 | id                           | uuid                        | NO          | gen_random_uuid()                                             |
| alt_todolar                 | ust_todo_id                  | uuid                        | NO          | null                                                          |
| alt_todolar                 | baslik                       | text                        | NO          | null                                                          |
| alt_todolar                 | aciklama                     | text                        | YES         | null                                                          |
| alt_todolar                 | durum                        | text                        | NO          | 'beklemede'::text                                             |
| alt_todolar                 | sira_no                      | integer                     | NO          | 1                                                             |
| alt_todolar                 | tamamlanma_tarihi            | date                        | YES         | null                                                          |
| alt_todolar                 | olusturma_tarihi             | timestamp with time zone    | NO          | now()                                                         |
| alt_todolar                 | guncelleme_tarihi            | timestamp with time zone    | NO          | now()                                                         |
| ambalaj_turleri             | id                           | uuid                        | NO          | gen_random_uuid()                                             |
| ambalaj_turleri             | ambalaj_adi                  | text                        | NO          | null                                                          |
| ambalaj_turleri             | aciklama                     | text                        | YES         | null                                                          |
| ambalaj_turleri             | aktif                        | boolean                     | NO          | true                                                          |
| ambalaj_turleri             | olusturma_tarihi             | timestamp with time zone    | NO          | now()                                                         |
| ambalaj_turleri             | guncelleme_tarihi            | timestamp with time zone    | NO          | now()                                                         |
| arac_giderleri              | id                           | uuid                        | NO          | gen_random_uuid()                                             |
| arac_giderleri              | arac_id                      | uuid                        | NO          | null                                                          |
| arac_giderleri              | gider_tipi                   | text                        | NO          | null                                                          |
| arac_giderleri              | gider_adi                    | text                        | NO          | null                                                          |
